Continent,R&D Category,Country Count,Average GDP
Africa,Low R&D (<1%),35,55229523439.34286
Africa,Medium R&D (1-3%),1,476748000000.0
Africa,High R&D (3-5%),0,
Africa,Very High R&D (>5%),0,
Asia,Low R&D (<1%),32,254895462332.40625
Asia,Medium R&D (1-3%),6,3403087000000.0
Asia,High R&D (3-5%),1,4256410000000.0
Asia,Very High R&D (>5%),2,1099460000000.0
Europe,Low R&D (<1%),18,213114826807.94446
Europe,Medium R&D (1-3%),18,762839193063.8889
Europe,High R&D (3-5%),5,1324423600000.0
Europe,Very High R&D (>5%),0,
North America,Low R&D (<1%),15,136448610477.34999
North America,Medium R&D (1-3%),1,2142470000000.0
North America,High R&D (3-5%),1,26006900000000.0
North America,Very High R&D (>5%),0,
Oceania,Low R&D (<1%),3,8488292317.666667
Oceania,Medium R&D (1-3%),2,905192000000.0
Oceania,High R&D (3-5%),0,
Oceania,Very High R&D (>5%),0,
South America,Low R&D (<1%),9,192460711341.125
South America,Medium R&D (1-3%),1,1476110000000.0
South America,High R&D (3-5%),0,
South America,Very High R&D (>5%),0,
